ninja: Entering directory `/home/chris/Source/libBICOS/builddir'
ninja: no work to do.
1/1 cuda RUNNING       
>>> MSAN_OPTIONS=halt_on_error=1:abort_on_error=1:print_summary=1:print_stacktrace=1 ASAN_OPTIONS=halt_on_error=1:abort_on_error=1:print_summary=1 UBSAN_OPTIONS=halt_on_error=1:abort_on_error=1:print_summary=1:print_stacktrace=1 MESON_TEST_ITERATION=1 /home/chris/Source/libBICOS/builddir/bench_cuda '--benchmark_context=available_gpus=NVIDIA GeForce RTX 4090'
――――――――――――――――――――――――――――――――――――― ✀  ―――――――――――――――――――――――――――――――――――――
---------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                       Time             CPU   Iterations
---------------------------------------------------------------------------------------------------------------------------------
bench_nxcorr_subroutine<float, cuda::NXCVariant::MINVAR>/repeats:10_mean                     5333 ns         5331 ns           10
bench_nxcorr_subroutine<float, cuda::NXCVariant::MINVAR>/repeats:10_median                   5330 ns         5328 ns           10
bench_nxcorr_subroutine<float, cuda::NXCVariant::MINVAR>/repeats:10_stddev                   27.6 ns         27.5 ns           10
bench_nxcorr_subroutine<float, cuda::NXCVariant::MINVAR>/repeats:10_cv                       0.52 %          0.52 %            10
bench_nxcorr_subroutine<float, cuda::NXCVariant::PLAIN>/repeats:10_mean                      5293 ns         5290 ns           10
bench_nxcorr_subroutine<float, cuda::NXCVariant::PLAIN>/repeats:10_median                    5293 ns         5286 ns           10
bench_nxcorr_subroutine<float, cuda::NXCVariant::PLAIN>/repeats:10_stddev                    16.9 ns         16.8 ns           10
bench_nxcorr_subroutine<float, cuda::NXCVariant::PLAIN>/repeats:10_cv                        0.32 %          0.32 %            10
bench_nxcorr_subroutine<double, cuda::NXCVariant::MINVAR>/repeats:10_mean                    9635 ns         9618 ns           10
bench_nxcorr_subroutine<double, cuda::NXCVariant::MINVAR>/repeats:10_median                  9618 ns         9614 ns           10
bench_nxcorr_subroutine<double, cuda::NXCVariant::MINVAR>/repeats:10_stddev                  55.0 ns         20.8 ns           10
bench_nxcorr_subroutine<double, cuda::NXCVariant::MINVAR>/repeats:10_cv                      0.57 %          0.22 %            10
bench_nxcorr_subroutine<double, cuda::NXCVariant::PLAIN>/repeats:10_mean                     9555 ns         9552 ns           10
bench_nxcorr_subroutine<double, cuda::NXCVariant::PLAIN>/repeats:10_median                   9558 ns         9555 ns           10
bench_nxcorr_subroutine<double, cuda::NXCVariant::PLAIN>/repeats:10_stddev                   12.9 ns         12.9 ns           10
bench_nxcorr_subroutine<double, cuda::NXCVariant::PLAIN>/repeats:10_cv                       0.13 %          0.13 %            10
bench_load_datacache<uint128_t>/repeats:10_mean                                              3664 ns         3663 ns           10
bench_load_datacache<uint128_t>/repeats:10_median                                            3685 ns         3684 ns           10
bench_load_datacache<uint128_t>/repeats:10_stddev                                            43.5 ns         43.5 ns           10
bench_load_datacache<uint128_t>/repeats:10_cv                                                1.19 %          1.19 %            10
bench_load_datacache<cuda::varuint_<256>>/repeats:10_mean                                    3712 ns         3708 ns           10
bench_load_datacache<cuda::varuint_<256>>/repeats:10_median                                  3708 ns         3707 ns           10
bench_load_datacache<cuda::varuint_<256>>/repeats:10_stddev                                  26.0 ns         18.1 ns           10
bench_load_datacache<cuda::varuint_<256>>/repeats:10_cv                                      0.70 %          0.49 %            10
bench_agree_kernel<uint8_t>                                                               1945385 ns      1944404 ns          360
bench_agree_kernel<uint16_t>                                                              1946443 ns      1945276 ns          360
bench_agree_subpixel_kernel<uint8_t>                                                      2028198 ns      2027478 ns          329
bench_agree_subpixel_kernel<uint16_t>                                                     2027385 ns      2026644 ns          345
bench_agree_subpixel_kernel_smem<uint8_t>                                                 2314400 ns      2313535 ns          303
bench_agree_subpixel_kernel_smem<uint16_t>                                                3236761 ns      3235779 ns          216
bench_bicos_kernel<uint32_t, BICOSFLAGS_NODUPES>                                         10254303 ns     10172779 ns           69
bench_bicos_kernel_smem<uint32_t, BICOSFLAGS_NODUPES>                                     9426648 ns      9423839 ns           74
bench_bicos_kernel<uint64_t, BICOSFLAGS_NODUPES>                                         12801051 ns     12796920 ns           55
bench_bicos_kernel_smem<uint64_t, BICOSFLAGS_NODUPES>                                    11302738 ns     11299470 ns           62
bench_bicos_kernel<uint32_t, BICOSFLAGS_CONSISTENCY>                                     11131994 ns     11128107 ns           63
bench_bicos_kernel_smem<uint32_t, BICOSFLAGS_CONSISTENCY>                                12207054 ns     12203020 ns           57
bench_bicos_kernel<uint64_t, BICOSFLAGS_CONSISTENCY>                                     20737421 ns     20730074 ns           34
bench_bicos_kernel_smem<uint64_t, BICOSFLAGS_CONSISTENCY>                                18384977 ns     18378049 ns           38
bench_bicos_kernel<uint32_t, BICOSFLAGS_NODUPES | BICOSFLAGS_CONSISTENCY>                10416468 ns     10412647 ns           68
bench_bicos_kernel_smem<uint32_t, BICOSFLAGS_NODUPES | BICOSFLAGS_CONSISTENCY>            9483968 ns      9480832 ns           74
bench_bicos_kernel<uint64_t, BICOSFLAGS_NODUPES | BICOSFLAGS_CONSISTENCY>                12907172 ns     12902840 ns           54
bench_bicos_kernel_smem<uint64_t, BICOSFLAGS_NODUPES | BICOSFLAGS_CONSISTENCY>           11423615 ns     11419648 ns           61
bench_bicos_kernel<uint128_t, BICOSFLAGS_NODUPES>                                        21118899 ns     21110804 ns           33
bench_bicos_kernel_smem<uint128_t, BICOSFLAGS_NODUPES>                                   18812834 ns     18806782 ns           37
bench_bicos_kernel<uint128_t, BICOSFLAGS_CONSISTENCY>                                    36909149 ns     36897285 ns           19
bench_bicos_kernel_smem<uint128_t, BICOSFLAGS_CONSISTENCY>                               36894087 ns     36881302 ns           19
bench_bicos_kernel<uint128_t, BICOSFLAGS_NODUPES | BICOSFLAGS_CONSISTENCY>               19154540 ns     19148377 ns           37
bench_bicos_kernel_smem<uint128_t, BICOSFLAGS_NODUPES | BICOSFLAGS_CONSISTENCY>          18930983 ns     18924585 ns           37
bench_descriptor_transform_kernel<uint8_t, uint32_t, TransformMode::LIMITED>               203834 ns       203764 ns        10000
bench_descriptor_transform_kernel<uint16_t, uint32_t, TransformMode::LIMITED>              199510 ns       198540 ns        10000
bench_descriptor_transform_kernel<uint8_t, uint64_t, TransformMode::LIMITED>               342536 ns       342424 ns        10000
bench_descriptor_transform_kernel<uint16_t, uint64_t, TransformMode::LIMITED>              369282 ns       368890 ns        10000
bench_descriptor_transform_kernel<uint8_t, uint128_t, TransformMode::LIMITED>             1021669 ns      1021345 ns        10000
bench_descriptor_transform_kernel<uint16_t, uint128_t, TransformMode::LIMITED>            1065017 ns      1063775 ns        10000
bench_descriptor_transform_kernel<uint8_t, uint32_t, TransformMode::FULL>                  201090 ns       201024 ns        10000
bench_descriptor_transform_kernel<uint16_t, uint32_t, TransformMode::FULL>                 212295 ns       212096 ns        10000
bench_descriptor_transform_kernel<uint8_t, uint64_t, TransformMode::FULL>                  369147 ns       369031 ns        10000
bench_descriptor_transform_kernel<uint16_t, uint64_t, TransformMode::FULL>                 373482 ns       372789 ns        10000
